"","Sec63","Pcdh7","Lrp10","Dlg1","Ptk7","Unc5b","Ryk","Ddr2","Lrp6","Sfrp1","Fzd1","Antxr1","Scarb2","Cd151","Fat1","Cd47","Igf2r","Rpsa","Vcam1","Osmr","Dag1","Itga1","Glg1","Gpc1","Sdc4","Cd44","Sdc1","Sdc2","Tgfbr2","Tgfbr3","Itga8","Itgav","Itgb5","Itga9","Itgb1","Lpar1","S1pr2","S1pr3","Ednra","F2r","Ncam1","Igf1r","Nrcam","Ptpra","Gria3","Ptprd","Nrp1","Nrp2","Axl","Pdgfra","Pdgfrb","Colec12","Nptn","Clstn1","Ebp","Ghr","Mylk","Pth1r","Tnfrsf1a","Anxa6","Cul5","Rrbp1","Nectin3","Tnfrsf12a","Calm1","Prnp","Sphk1","Amfr","Atp5b","Pkd2","Bmpr1a","Bmpr2","Plxnb2","Ptprs","Rack1","Pkd1","Adgrl3","Fgfr1","Neo1","Lrp1","Il6st","Il1r1","Derl1","Cmklr1","Agtrap","Cd34"
"Timp1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196613018488862,0,0,0,0,0,0
"Tfpi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02413170054837,0,0,0,0,0,0
"Serping1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02413170054837,0,0,0,0,0,0
"Serpine2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140964001971249,0,0,0,0,0,0
"Serpine1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.446424887129183,0,0,0,0,0,0
"Psap",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02413170054837,0,0,0,0,0,0
"Plat",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02413170054837,0,0,0,0,0,0
"Lrpap1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.486493867489844,0,0,0,0,0,0
"Ltf",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02413170054837,0,0,0,0,0,0
"Agrn",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.388241151265362,0,0,0,0,0,0,0,0,0,0,0.250218026267722,0,0,0.206282774030582,0,0,0,0,0,0.446585404733779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.459981161825488,0,0,0,0,0,0.10960023775516,0,0,0,0,0,0
